id,country,name,capital,latitude,longitude
170,Peru,Lima,1,-12.05,-77.05
171,Philippines,Manila,1,14.6,120.966667
172,Pitcairn Islands,Adamstown,1,-25.06666667,-130.083333
173,Poland,Warsaw,1,52.25,21
174,Portugal,Lisbon,1,38.71666667,-9.133333
175,Puerto Rico,San Juan,1,18.46666667,-66.116667
176,Qatar,Doha,1,25.28333333,51.533333
177,Romania,Bucharest,1,44.43333333,26.1
178,Russia,Moscow,1,55.75,37.6
179,Rwanda,Kigali,1,-1.95,30.05
180,Saint Barthelemy,Gustavia,1,17.88333333,-62.85
181,Saint Helena,Jamestown,1,-15.93333333,-5.716667
182,Saint Kitts and Nevis,Basseterre,1,17.3,-62.716667
183,Saint Lucia,Castries,1,14,-61
184,Saint Pierre and Miquelon,Saint-Pierre,1,46.76666667,-56.183333
185,Saint Vincent and the Grenadines,Kingstown,1,13.13333333,-61.216667
186,Samoa,Apia,1,-13.81666667,-171.766667
187,San Marino,San Marino,1,43.93333333,12.416667
188,Sao Tome and Principe,Sao Tome,1,0.333333333,6.733333
189,Saudi Arabia,Riyadh,1,24.65,46.7
190,Senegal,Dakar,1,14.73333333,-17.633333
191,Serbia,Belgrade,1,44.83333333,20.5
192,Seychelles,Victoria,1,-4.616666667,55.45
193,Sierra Leone,Freetown,1,8.483333333,-13.233333
194,Singapore,Singapore,1,1.283333333,103.85
195,Sint Maarten,Philipsburg,1,18.01666667,-63.033333
196,Slovakia,Bratislava,1,48.15,17.116667
197,Slovenia,Ljubljana,1,46.05,14.516667
198,Solomon Islands,Honiara,1,-9.433333333,159.95
199,Somalia,Mogadishu,1,2.066666667,45.333333
200,South Africa,Pretoria,1,-25.7,28.216667
201,South Sudan,Juba,1,4.85,31.616667
202,Spain,Madrid,1,40.4,-3.683333
203,Sri Lanka,Colombo,1,6.916666667,79.833333
204,Sudan,Khartoum,1,15.6,32.533333
205,Suriname,Paramaribo,1,5.833333333,-55.166667
206,Svalbard,Longyearbyen,1,78.21666667,15.633333
207,Swaziland,Mbabane,1,-26.31666667,31.133333
208,Sweden,Stockholm,1,59.33333333,18.05
209,Switzerland,Bern,1,46.91666667,7.466667
210,Syria,Damascus,1,33.5,36.3
211,Taiwan,Taipei,1,25.03333333,121.516667
212,Tajikistan,Dushanbe,1,38.55,68.766667
213,Tanzania,Dar es Salaam,1,-6.8,39.283333
214,Thailand,Bangkok,1,13.75,100.516667
215,Timor-Leste,Dili,1,-8.583333333,125.6
216,Togo,Lome,1,6.116666667,1.216667
217,Tonga,Nuku'alofa,1,-21.13333333,-175.2
218,Trinidad and Tobago,Port of Spain,1,10.65,-61.516667
219,Tunisia,Tunis,1,36.8,10.183333
220,Turkey,Ankara,1,39.93333333,32.866667
221,Turkmenistan,Ashgabat,1,37.95,58.383333
222,Turks and Caicos Islands,Grand Turk,1,21.46666667,-71.133333
223,Tuvalu,Funafuti,1,-8.516666667,179.216667
224,Uganda,Kampala,1,0.316666667,32.55
225,Ukraine,Kyiv,1,50.43333333,30.516667
226,United Arab Emirates,Abu Dhabi,1,24.46666667,54.366667
227,United Kingdom,London,1,51.5,-0.083333
228,United States,Washington,1,38.883333,-77
229,Uruguay,Montevideo,1,-34.85,-56.166667
230,Uzbekistan,Tashkent,1,41.31666667,69.25
231,Vanuatu,Port-Vila,1,-17.73333333,168.316667
232,Venezuela,Caracas,1,10.48333333,-66.866667
233,Vietnam,Hanoi,1,21.03333333,105.85
234,US Virgin Islands,Charlotte Amalie,1,18.35,-64.933333
235,Wallis and Futuna,Mata-Utu,1,-13.95,-171.933333
236,Yemen,Sanaa,1,15.35,44.2
237,Zambia,Lusaka,1,-15.41666667,28.283333
238,Zimbabwe,Harare,1,-17.81666667,31.033333
239,US Minor Outlying Islands,Washington,1,38.883333,-77
240,Antarctica,N/A,1,0,0
241,Northern Cyprus,North Nicosia,1,35.183333,33.366667
242,Hong Kong,N/A,1,0,0
243,Heard Island and McDonald Islands,N/A,1,0,0
244,British Indian Ocean Territory,Diego Garcia,1,-7.3,72.4
245,Macau,N/A,1,0,0
